generation,hypervolume,spacing,epsilon,population_size,pareto_size
1,1.0038646666765276,0.10431419325342844,0.0,30,6
2,3.024233873763947,0.05269688554738452,0.303699592350203,30,10
3,2.816765057783972,0.06548821037152429,0.7320087268654426,30,8
4,2.6009133894968293,0.1089553257499521,6.0,30,7
5,1.920824747075287,0.15569717746357653,2.4,30,7
6,2.000265499069375,0.13025890938077184,2.4,30,3
7,1.9481386178417377,0.15469593879443352,2.4,30,2
8,2.0932357968018054,0.14044853103052768,6.0,30,2
9,1.8690682667479852,0.1433197045014283,4.0,30,6
10,1.8151010585056382,0.11664958066577118,2.0,30,4
11,1.8298406048384788,0.09359710648434648,4.0,30,2
12,1.3417112989331392,0.09574587767622526,3.0,30,2
13,0.9398579864380855,0.16619909129780955,2.0,30,7
14,1.0713293771790235,0.1290005669997249,3.0,30,4
15,1.3383893321727762,0.12380727540257763,3.0,30,5
16,1.6802197409829567,0.12833631568364495,2.4,30,7
17,1.7288860456265798,0.11046107663837253,2.4,30,3
18,1.548285584633573,0.12846118574954501,1.7142857142857142,30,9
19,1.2927556846772836,0.14612051281562338,2.4,30,9
20,0.5229134607450503,0.14008331309597258,2.4,30,7
21,0.6527512522265312,0.11403483436835216,2.4,30,9
22,0.47412927614337297,0.12461331703257504,2.4,30,3
23,1.1419595551383201,0.11142190560748773,6.0,30,5
24,0.643856104658906,0.12038226585404968,2.4,30,2
25,0.5760480382014141,0.13483051811909597,6.0,30,4
26,1.6513013134281662,0.08627596745501497,4.0,30,6
27,1.4628507836074858,0.13950624928049513,2.0,30,8
28,0.9660705596161251,0.14426184915611204,6.0,30,4
29,0.6402707527795295,0.12550909331136398,4.0,30,3
30,0.8230004264747979,0.1271059268050356,4.0,30,4
