run,iteration,algorithm,hv,spacing,archive_size,time
1,1,MOVNS,1322048.815453291,0.11373275910129112,16,0.01890420913696289
1,2,MOVNS,1318575.1628520489,0.11100491419213286,16,0.027626514434814453
1,3,MOVNS,1318575.1628520489,0.10706572701482085,17,0.042864084243774414
1,4,MOVNS,1674616.8871276379,0.10307172031104586,23,0.07822942733764648
1,5,MOVNS,1665236.0587718487,0.09981036326958959,26,0.10650944709777832
1,6,MOVNS,1983953.2523543835,0.09551564677263942,29,0.12388038635253906
1,7,MOVNS,1983953.2523543835,0.09503490094029429,30,0.142822265625
1,8,MOVNS,1983953.2523543835,0.09263910216473331,31,0.1653454303741455
1,9,MOVNS,1983953.2523543835,0.10544679095483082,29,0.18438315391540527
1,10,MOVNS,2159776.1368014812,0.10250733321885133,32,0.20761537551879883
1,11,MOVNS,2159776.1368014812,0.10050749960319101,34,0.23207378387451172
1,12,MOVNS,2318759.720183134,0.09451960777687057,36,0.24672460556030273
1,13,MOVNS,2436659.8266346455,0.07528526237333569,38,0.2640852928161621
1,14,MOVNS,2214399.4321923256,0.08821587285224197,31,0.2853684425354004
1,15,MOVNS,2212900.399102211,0.08568631934014927,34,0.33932065963745117
1,16,MOVNS,2326737.1349401474,0.08340743408733908,36,0.3571443557739258
1,17,MOVNS,2338633.5417616367,0.08021858530835219,39,0.402026891708374
1,18,MOVNS,2338633.5417616367,0.07879015724516132,41,0.4350771903991699
1,19,MOVNS,2338633.5417616367,0.07809824273628378,42,0.47098541259765625
1,20,MOVNS,2338633.5417616367,0.07742096232130219,43,0.5045876502990723
1,21,MOVNS,2338633.5417616367,0.07675808269604534,44,0.5366928577423096
1,22,MOVNS,2181573.2020647526,0.07862877213444319,45,0.5729115009307861
1,23,MOVNS,2181573.2020647526,0.07799112143969496,46,0.6101222038269043
1,24,MOVNS,2181573.2020647526,0.07799112143969496,46,0.6101222038269043
1,25,MOVNS,2181573.2020647526,0.07799112143969496,46,0.6101222038269043
1,26,MOVNS,2181573.2020647526,0.07799112143969496,46,0.6101222038269043
1,27,MOVNS,2181573.2020647526,0.07799112143969496,46,0.6101222038269043
1,28,MOVNS,2181573.2020647526,0.07799112143969496,46,0.6101222038269043
1,29,MOVNS,2181573.2020647526,0.07799112143969496,46,0.6101222038269043
1,30,MOVNS,2181573.2020647526,0.07799112143969496,46,0.6101222038269043
1,1,MOEAD,971943.6570382345,0.036372550634588025,50,0.5889835357666016
1,2,MOEAD,971943.6570382345,0.03465044259525299,50,1.159177541732788
1,3,MOEAD,961938.923051011,0.035764904336614334,50,1.7282984256744385
1,4,MOEAD,961938.923051011,0.0346659292089105,50,2.2949624061584473
1,5,MOEAD,961938.923051011,0.0370903260947717,50,2.911942481994629
1,6,MOEAD,961938.923051011,0.03747468921969615,50,3.5070765018463135
1,7,MOEAD,961938.923051011,0.038290859703166306,50,4.1134419441223145
1,8,MOEAD,961938.923051011,0.06000004016806177,50,4.69931697845459
1,9,MOEAD,961938.923051011,0.039133350415177015,50,5.269540309906006
1,10,MOEAD,961938.923051011,0.04278530756496904,50,5.831911325454712
1,11,MOEAD,961938.923051011,0.04133451837666162,50,6.413511753082275
1,12,MOEAD,961938.923051011,0.04125692441732449,50,6.986205339431763
1,13,MOEAD,961938.923051011,0.03954751410145421,50,7.5831215381622314
1,14,MOEAD,961938.923051011,0.039715764923784085,50,8.191375732421875
1,15,MOEAD,961938.923051011,0.05896353641327423,50,8.78032660484314
1,16,MOEAD,961938.923051011,0.0536233242476069,50,9.343022584915161
1,17,MOEAD,961938.923051011,0.05323082290981615,50,9.911205291748047
1,18,MOEAD,961938.923051011,0.05323082290981615,50,10.48018193244934
1,19,MOEAD,961938.923051011,0.04335632177231602,50,11.042304039001465
1,20,MOEAD,961938.923051011,0.04699440877009929,50,11.634188652038574
1,21,MOEAD,961938.923051011,0.05219520913011487,50,12.228594779968262
1,22,MOEAD,961938.923051011,0.05121368505079358,50,12.828328847885132
1,23,MOEAD,961938.923051011,0.0503176093678986,50,13.403912544250488
1,24,MOEAD,961938.923051011,0.050054669361532515,50,13.97066068649292
1,25,MOEAD,961938.923051011,0.0500230386122013,50,14.534955978393555
1,26,MOEAD,961938.923051011,0.0500230386122013,50,15.089095830917358
1,27,MOEAD,961938.923051011,0.05050600853691022,50,15.647195816040039
1,28,MOEAD,961938.923051011,0.05049709596759319,50,16.214319944381714
1,29,MOEAD,961938.923051011,0.05072386409414523,50,16.805875301361084
1,30,MOEAD,961938.923051011,0.05066258584845379,50,17.398970127105713
2,1,MOVNS,1499321.0059422255,0.2078951471124852,11,0.008765459060668945
2,2,MOVNS,1370777.1640480757,0.19246066121160893,14,0.048163652420043945
2,3,MOVNS,1370777.1640480757,0.18102405443184677,16,0.06320333480834961
