algorithm,iteration,hv,spacing,archive_size,time
MOEAD,1,0.0,0.07562244357552256,50.0,0.5891258716583252
MOEAD,2,0.0,0.07562244357552256,50.0,1.1769764423370361
MOEAD,3,0.0,0.07562244357552256,50.0,1.7633452415466309
MOEAD,4,0.0,0.07562244357552256,50.0,2.348623752593994
MOEAD,5,0.0,0.07562244357552256,50.0,2.919764995574951
MOEAD,6,0.0,0.07562244357552256,50.0,3.4786744117736816
MOEAD,7,0.0,0.07562244357552256,50.0,4.043126821517944
MOEAD,8,0.0,0.07562244357552256,50.0,4.608063459396362
MOEAD,9,0.0,0.07562244357552256,50.0,5.170955419540405
MOEAD,10,0.0,0.07562244357552256,50.0,5.740636348724365
MOEAD,11,0.0,0.07562244357552256,50.0,6.313539743423462
MOEAD,12,0.0,0.07562244357552256,50.0,6.898566484451294
MOEAD,13,0.0,0.07562244357552256,50.0,7.485301494598389
MOEAD,14,0.0,0.07562244357552256,50.0,8.082192420959473
MOEAD,15,0.0,0.07562244357552256,50.0,8.664087772369385
MOEAD,16,0.0,0.07562244357552256,50.0,9.219359874725342
MOEAD,17,0.0,0.07562244357552256,50.0,9.799009561538696
MOEAD,18,0.0,0.07562244357552256,50.0,10.385758638381958
MOEAD,19,0.0,0.07562244357552256,50.0,10.963184833526611
MOEAD,20,0.0,0.07562244357552256,50.0,11.551777601242065
MOEAD,21,0.0,0.07562244357552256,50.0,12.134023427963257
MOEAD,22,0.0,0.07562244357552256,50.0,12.726091861724854
MOEAD,23,0.0,0.07562244357552256,50.0,13.303666830062866
MOEAD,24,0.0,0.07562244357552256,50.0,13.874144554138184
MOEAD,25,0.0,0.07562244357552256,50.0,14.441919803619385
MOEAD,26,0.0,0.07562244357552256,50.0,14.998652696609497
MOEAD,27,0.0,0.07562244357552256,50.0,15.558852434158325
MOEAD,28,0.0,0.07562244357552256,50.0,16.11397385597229
MOEAD,29,0.0,0.07562244357552256,50.0,16.675217151641846
MOEAD,30,0.0,0.07562244357552256,50.0,17.266562461853027
MOVNS,1,0.0,0.16757162501523706,10.0,0.009971141815185547
MOVNS,2,0.0,0.13178445267049374,13.0,0.02652764320373535
MOVNS,3,0.0,0.133102553532189,13.0,0.0410923957824707
MOVNS,4,0.0,0.13245180588169592,14.0,0.06100344657897949
MOVNS,5,0.0,0.1346512981598705,17.0,0.07205820083618164
MOVNS,6,0.0,0.12726013016898383,19.0,0.08745002746582031
MOVNS,7,0.0,0.12963468280087498,19.0,0.10500454902648926
MOVNS,8,0.0,0.13018605064696612,19.0,0.12763762474060059
MOVNS,9,0.0,0.1306331434446688,19.0,0.13969826698303223
MOVNS,10,0.0,0.1306331434446688,20.0,0.15750622749328613
MOVNS,11,0.0,0.1306331434446688,20.0,0.15750622749328613
MOVNS,12,0.0,0.1306331434446688,20.0,0.15750622749328613
MOVNS,13,0.0,0.1306331434446688,20.0,0.15750622749328613
MOVNS,14,0.0,0.1306331434446688,20.0,0.15750622749328613
MOVNS,15,0.0,0.1306331434446688,20.0,0.15750622749328613
MOVNS,16,0.0,0.1306331434446688,20.0,0.15750622749328613
MOVNS,17,0.0,0.1306331434446688,20.0,0.15750622749328613
MOVNS,18,0.0,0.1306331434446688,20.0,0.15750622749328613
MOVNS,19,0.0,0.1306331434446688,20.0,0.15750622749328613
MOVNS,20,0.0,0.1306331434446688,20.0,0.15750622749328613
MOVNS,21,0.0,0.1306331434446688,20.0,0.15750622749328613
MOVNS,22,0.0,0.1306331434446688,20.0,0.15750622749328613
MOVNS,23,0.0,0.1306331434446688,20.0,0.15750622749328613
MOVNS,24,0.0,0.1306331434446688,20.0,0.15750622749328613
MOVNS,25,0.0,0.1306331434446688,20.0,0.15750622749328613
MOVNS,26,0.0,0.1306331434446688,20.0,0.15750622749328613
MOVNS,27,0.0,0.1306331434446688,20.0,0.15750622749328613
MOVNS,28,0.0,0.1306331434446688,20.0,0.15750622749328613
MOVNS,29,0.0,0.1306331434446688,20.0,0.15750622749328613
MOVNS,30,0.0,0.1306331434446688,20.0,0.15750622749328613
